Bus ID,lat,lng,Zone,Sub Name,Bus Name,Area,BaseKV,PU Volt,Volt (kV),Angle (Deg),MW Load,Load Mvar,Gen MW,Sub Num,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Zone Num,Bus Type,Sub Area
150523,32.3377,-97.7346,5,RAINBOW_5,RAINBOW_5_3,North_Central,22.0,1.08499,23.87,-34.97,0.0,,121.13,2207,233.27,,0,0,1,PQ (Gens at Var Limit),0
150431,32.7283,-97.2192,5,KENNEDALE_8,KENNEDALE_8_2,North_Central,22.0,1.08072,23.776,-42.19,0.0,,207.51,2184,221.41,,0,0,1,PQ (Gens at Var Limit),0
150429,33.1344,-98.6117,5,GRAHAM_3,GRAHAM_3_4,North_Central,13.8,1.08029,14.908,-26.69,0.0,,97.44,2183,118.2,,0,0,1,PQ (Remote Reg Secondary),0
111347,29.7134,-95.1345,7,DEER_PARK_14,DEER_PARK_14_2,Coast,13.8,1.07943,14.896,-53.86,0.0,,37.51,861,143.54,,0,0,1,PQ (Gens at Var Limit),0
111391,29.2894,-96.0654,7,WHARTON_4,WHARTON_4_3,Coast,24.0,1.07934,25.904,-41.72,0.0,,191.66,873,134.46,,0,0,1,PQ (Remote Reg Secondary),0
150433,32.7283,-97.2192,5,KENNEDALE_8,KENNEDALE_8_4,North_Central,24.0,1.07856,25.885,-42.26,0.0,,192.08,2184,201.06,,0,0,1,PQ,0
405,29.4924,-94.9848,7,BACLIFF_3,BACLIFF_3_9_405,Coast,13.8,1.07823,14.88,-24.31,0.0,,505.77,874,155.01,,0,0,1,PV (Remote Reg Primary),0
406,29.4924,-94.9848,7,BACLIFF_3,BACLIFF_3_9_406,Coast,13.8,1.07705,14.863,-23.75,0.0,,540.16,874,155.01,,0,0,1,PQ (Remote Reg Secondary),0
150476,32.3342,-97.7317,5,RAINBOW_4,RAINBOW_4_2,North_Central,13.8,1.07548,14.842,-35.3,0.0,,78.63,2192,142.52,,0,0,1,PQ (Gens at Var Limit),0
170518,32.8359,-96.5458,5,SUNNYVALE_6,SUNNYVALE_6_2,North_Central,13.8,1.07273,14.804,-49.42,0.0,,85.76,2863,175.21,,0,0,1,PV (Remote Reg Primary),0
130351,32.7232,-96.9358,5,DUNCANVILLE_14,DUNCANVILLE_14_2,North_Central,13.8,1.07236,14.799,-48.36,0.0,,152.7,1569,289.11,,0,0,1,PQ (Gens at Var Limit),0
