BUS UID,Bus ID,Name of Bus,ID,Status,Gen MW,PMin MW,PMax MW,AGC,# Cost Curve Points,IOB,IOC,Variable O&M,Fuel Price $/MMBTU,IOD,AVR,RegBus Num,Fuel,Set Volt,Min Mvar,Max Mvar,Enforce MW Limits,Part. Factor,Cost Model,GEN UID,Unit Type,Ramp Rate MW/Min,Min Up Time Hr,Min Down Time Hr,Unit Group,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fixed Cost($/hr),MW Break 1,MWh Price 1,MW Break 2,MWh Price 2,MW Break 3,MWh Price 3,MW Break 4,MWh Price 4,MW Break 5,MWh Price 5
90_1,90,COLORADO CITY 3 8 90,1,Closed,38.86,38.86,101.0,YES,5,10.0,0.01,0.0,1.0,0,YES,1,SUN (Solar),1.04,-31.28,41.12,YES,110.0,Piecewise Linear,SolarPhotovoltaic_90_1,Solar Photovoltaic,0.0,1,1,Solar Photovoltaic,13.0,6.5,3.25,0.0,0.0,0.0,0.0,492.82,38.86,10.84,51.29,11.09,63.72,11.34,76.14,11.59,88.57,11.83
91_PA,91,COLORADO CITY 3 8 91,PA,Closed,38.86,38.86,101.0,YES,5,10.0,0.01,0.0,1.0,0,YES,1,SUN (Solar),1.04,-31.28,41.12,YES,110.0,Piecewise Linear,SolarPhotovoltaic_91_PA,Solar Photovoltaic,0.0,1,1,Solar Photovoltaic,13.0,6.5,3.25,0.0,0.0,0.0,0.0,492.82,38.86,10.84,51.29,11.09,63.72,11.34,76.14,11.59,88.57,11.83
92_PP,92,COLORADO CITY 3 8 92,PP,Closed,15.21,15.21,77.53,YES,5,10.0,0.01,0.0,1.0,0,YES,1,SUN (Solar),1.04,-23.98,39.21,YES,77.53,Piecewise Linear,SolarPhotovoltaic_92_PP,Solar Photovoltaic,0.6006,4,4,Solar Photovoltaic,12.0,6.0,3.0,7215.1,4536.1,3196.6,0.0,184.48,15.21,10.37,27.67,10.62,40.14,10.87,52.6,11.11,65.07,11.36
93_1,93,MCADOO 1 3 93,1,Closed,102.71,102.71,300.0,YES,5,10.0,0.01,0.0,1.0,0,YES,2,WND (Wind),1.04,-97.98,120.23,YES,300.0,Piecewise Linear,OnshoreWindTurbine_93_1,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.27,102.71,12.25,142.17,13.04,181.63,13.83,221.08,14.62,260.54,15.41
94_PA,94,MCADOO 1 3 94,PA,Closed,102.71,102.71,300.0,YES,5,10.0,0.01,0.0,1.0,0,YES,2,WND (Wind),1.04,-97.98,120.23,YES,399.0,Piecewise Linear,OnshoreWindTurbine_94_PA,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.27,102.71,12.25,142.17,13.04,181.63,13.83,221.08,14.62,260.54,15.41
95_PB,95,MCADOO 1 3 95,PB,Closed,102.71,102.71,300.0,YES,5,10.0,0.01,0.0,1.0,0,YES,2,WND (Wind),1.04,-97.98,120.23,YES,300.0,Piecewise Linear,OnshoreWindTurbine_95_PB,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.27,102.71,12.25,142.17,13.04,181.63,13.83,221.08,14.62,260.54,15.41
96_PC,96,MCADOO 1 3 96,PC,Closed,102.71,102.71,300.0,YES,5,10.0,0.01,0.0,1.0,0,YES,2,WND (Wind),1.04,-97.98,120.23,YES,10.0,Piecewise Linear,OnshoreWindTurbine_96_PC,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.27,102.71,12.25,142.17,13.04,181.63,13.83,221.08,14.62,260.54,15.41
97_PP,97,MCADOO 1 3 97,PP,Closed,41.23,41.23,142.88,YES,5,10.0,0.01,0.0,1.0,0,YES,2,WND (Wind),1.04,-45.31,72.34,YES,142.88,Piecewise Linear,OnshoreWindTurbine_97_PP,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.07,41.23,10.93,61.56,11.33,81.89,11.74,102.22,12.15,122.55,12.55
98_1,98,DOUGHERTY 2 3 98,1,Closed,22.3,22.3,120.0,YES,5,10.0,0.01,0.0,1.0,0,YES,3,WND (Wind),1.0,-39.13,45.9,YES,120.0,Piecewise Linear,OnshoreWindTurbine_98_1,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.1,22.3,10.54,41.84,10.93,61.38,11.33,80.92,11.72,100.46,12.11
99_PA,99,DOUGHERTY 2 3 99,PA,Closed,22.3,22.3,120.0,YES,5,10.0,0.01,0.0,1.0,0,YES,3,WND (Wind),1.0,-39.13,45.9,YES,120.0,Piecewise Linear,OnshoreWindTurbine_99_PA,Onshore Wind Turbine,0.0,1,1,Onshore Wind Turbine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.1,22.3,10.54,41.84,10.93,61.38,11.33,80.92,11.72,100.46,12.11
