BusNum,MWMin,MWMax,Min_site,Min_site_cap,dist_factor
90,38.86,101.0,Flatland Solar,147.0,0.6870748299319728
91,38.86,101.0,Flatland Solar,147.0,0.6870748299319728
92,15.21,77.53,Flatland Solar,147.0,0.5274149659863946
122,41.21,250.0,solar438,42.45,5.889281507656065
123,41.21,250.0,solar438,42.45,5.889281507656065
124,88.13,191.91,solar438,42.45,4.520848056537102
125,56.21,200.0,Charbray Solar,200.0,1.0
126,56.21,200.0,Charbray Solar,200.0,1.0
127,55.12,153.52,Charbray Solar,200.0,0.7676000000000001
128,16.21,125.0,Norton Solar,125.0,1.0
129,16.21,125.0,Norton Solar,125.0,1.0
130,32.91,95.95,Norton Solar,125.0,0.7676000000000001
131,61.21,200.0,Prickly Pear,102.5,1.951219512195122
132,61.21,200.0,Prickly Pear,102.5,1.951219512195122
133,57.1,153.52,Prickly Pear,102.5,1.4977560975609756
149,43.51,255.0,Bestla Solar,180.0,1.4166666666666667
150,43.51,255.0,Bestla Solar,180.0,1.4166666666666667
151,68.21,196.74,Bestla Solar,180.0,1.093
152,25.87,127.5,GSE Eleven,135.0,0.9444444444444444
153,25.87,127.5,GSE Eleven,135.0,0.9444444444444444
154,33.53,97.87,GSE Eleven,135.0,0.724962962962963
155,27.31,82.5,Phoenix Solar,82.3,1.0024301336573511
156,27.31,82.5,Phoenix Solar,82.3,1.0024301336573511
157,19.21,63.33,Phoenix Solar,82.3,0.769501822600243
161,35.13,200.0,Fowler Ranch,150.0,1.3333333333333333
162,35.13,200.0,Fowler Ranch,150.0,1.3333333333333333
163,56.13,153.52,Fowler Ranch,150.0,1.0234666666666667
185,99.13,300.0,Prospero Solar II,250.0,1.2
186,99.13,300.0,Prospero Solar II,250.0,1.2
187,65.21,230.29,Prospero Solar II,250.0,0.92116
193,35.18,135.0,Phoenix Solar,82.3,1.6403402187120293
194,35.18,135.0,Phoenix Solar,82.3,1.6403402187120293
195,39.41,103.63,Phoenix Solar,82.3,1.2591737545565005
196,17.51,60.0,Rippey Solar,60.0,1.0
197,17.51,60.0,Rippey Solar,60.0,1.0
198,16.21,46.06,Rippey Solar,60.0,0.7676666666666667
199,17.13,60.0,GSE Eleven,135.0,0.4444444444444444
200,17.13,60.0,GSE Eleven,135.0,0.4444444444444444
201,16.88,46.06,GSE Eleven,135.0,0.3411851851851852
212,38.71,255.0,RE Maplewood 2c Solar ,250.0,1.02
213,38.71,255.0,RE Maplewood 2c Solar ,250.0,1.02
214,67.13,195.74,RE Maplewood 2c Solar ,250.0,0.78296
225,58.12,225.0,solar22,230.0,0.9782608695652174
226,58.12,225.0,solar22,230.0,0.9782608695652174
227,70.13,172.71,solar22,230.0,0.7509130434782609
228,51.23,300.0,solar22,230.0,1.3043478260869565
229,51.23,300.0,solar22,230.0,1.3043478260869565
230,57.21,122.05,solar22,230.0,0.5306521739130434
231,38.12,108.23,solar21,1.5,72.15333333333334
237,37.12,200.0,solar22,230.0,0.8695652173913043
238,37.12,200.0,solar22,230.0,0.8695652173913043
239,56.92,153.52,solar22,230.0,0.6674782608695653
260,78.11,180.0,Tri-County Solar,177.75,1.0126582278481013
261,78.11,180.0,Tri-County Solar,177.75,1.0126582278481013
262,52.13,138.17,Tri-County Solar,177.75,0.7773277074542897
263,1.79,16.8,Red Holly Solar,260.0,0.06461538461538462
264,1.79,16.8,Red Holly Solar,260.0,0.06461538461538462
265,2.13,12.9,Red Holly Solar,260.0,0.04961538461538462
266,160.2,350.0,Arroyo Del Bisonte Solar,300.0,1.1666666666666667
267,160.2,350.0,Arroyo Del Bisonte Solar,300.0,1.1666666666666667
268,45.13,268.67,Arroyo Del Bisonte Solar,300.0,0.8955666666666667
285,51.34,222.8,Prospero Solar II,250.0,0.8912
286,51.34,222.8,Prospero Solar II,250.0,0.8912
287,42.13,171.03,Prospero Solar II,250.0,0.68412
289,172.13,420.0,Bestla Solar,180.0,2.3333333333333335
291,172.13,420.0,Bestla Solar,180.0,2.3333333333333335
292,90.23,322.4,Bestla Solar,180.0,1.7911111111111109
293,42.34,250.0,Samson Solar 2,200.0,1.25
294,94.32,300.0,Samson Solar 2,200.0,1.5
295,72.11,310.0,Samson Solar 2,200.0,1.55
296,131.45,400.0,Blackwater Draw Solar,151.9,2.6333113890717574
298,131.45,400.0,Blackwater Draw Solar,151.9,2.6333113890717574
300,102.31,307.05,Blackwater Draw Solar,151.9,2.021395655036208
301,34.13,250.0,Blackwater Draw Solar,151.9,1.6458196181698486
303,34.13,250.0,Blackwater Draw Solar,151.9,1.6458196181698486
305,89.13,191.91,Blackwater Draw Solar,151.9,1.2633969716919025
311,45.13,250.0,Lunis Creek Solar 2,202.5,1.2345679012345678
312,45.13,250.0,Lunis Creek Solar 2,202.5,1.2345679012345678
313,87.21,191.91,Lunis Creek Solar 2,202.5,0.9477037037037037
314,90.13,198.5,Samson Solar 2,200.0,0.9925
315,90.13,198.5,Samson Solar 2,200.0,0.9925
316,52.13,152.37,Samson Solar 2,200.0,0.76185
317,26.13,200.0,Signal Ranch,70.0,2.857142857142857
318,26.13,200.0,Signal Ranch,70.0,2.857142857142857
319,42.13,153.52,Signal Ranch,70.0,2.1931428571428575
320,42.18,250.0,Delilah Solar 3,400.0,0.625
321,42.18,250.0,Delilah Solar 3,400.0,0.625
322,90.13,191.91,Delilah Solar 3,400.0,0.479775
323,21.2,50.7,Stillwater Solar,144.0,0.35208333333333336
324,21.2,50.7,Stillwater Solar,144.0,0.35208333333333336
325,16.21,38.92,Stillwater Solar,144.0,0.2702777777777778
331,43.31,250.0,Tulsita Solar,258.35,0.9676795045480936
332,43.31,250.0,Tulsita Solar,258.35,0.9676795045480936
333,87.22,191.91,Tulsita Solar,258.35,0.7428294948712986
334,35.13,108.0,RE Maplewood 2c Solar ,250.0,0.432
335,35.13,108.0,RE Maplewood 2c Solar ,250.0,0.432
336,24.13,82.09,RE Maplewood 2c Solar ,250.0,0.32836000000000004
337,14.31,42.0,Signal Ranch,70.0,0.6
338,14.31,42.0,Signal Ranch,70.0,0.6
339,9.13,32.24,Signal Ranch,70.0,0.4605714285714286
340,34.21,120.0,Longbow Solar,70.0,1.7142857142857142
341,34.21,120.0,Longbow Solar,70.0,1.7142857142857142
342,35.13,92.11,Longbow Solar,70.0,1.3158571428571428
343,44.13,260.0,West of Pecos Solar,100.0,2.6
344,44.13,260.0,West of Pecos Solar,100.0,2.6
345,54.22,199.58,West of Pecos Solar,100.0,1.9958
346,72.13,180.0,West of Pecos Solar,100.0,1.8
